duracao_h,intensidade_max_mm_h,id_estacao,id_evento_chuva,start_time,end_time,classificacao
0.5,26.4,22,22_1485448200,2017-01-26 16:30:00,2017-01-26 17:00:00,ESA
0.25,12.0,22,22_1486073700,2017-02-02 22:15:00,2017-02-02 22:45:00,ESA
0.5,10.4,22,22_1486073700,2017-02-02 22:15:00,2017-02-02 22:45:00,ESA
0.25,8.0,22,22_1487971800,2017-02-24 21:30:00,2017-02-24 22:00:00,ESA
0.5,7.2,22,22_1487971800,2017-02-24 21:30:00,2017-02-24 22:00:00,ESA
0.25,5.6,22,22_1488021300,2017-02-25 11:15:00,2017-02-25 11:30:00,ESA
0.25,6.4,22,22_1488142800,2017-02-26 21:00:00,2017-02-26 21:15:00,ESA
0.25,51.2,22,22_1488560400,2017-03-03 17:00:00,2017-03-03 19:15:00,ESA
0.5,36.8,22,22_1488560400,2017-03-03 17:00:00,2017-03-03 19:15:00,ESA
1.0,22.6,22,22_1488560400,2017-03-03 17:00:00,2017-03-03 19:15:00,ESA
2.0,12.700000000000001,22,22_1488560400,2017-03-03 17:00:00,2017-03-03 19:15:00,ESA
